1500-01	1500_A
300-01	300_A
aa-01	aa_A
aao-01	aao_A
abandon-01	abandon_V
abandon-02	abandon_V
abandon-03	abandon_V
abase-01	abase_V
abash-01	abash_V
abate-01	abate_V
abbreviate-01	abbreviation_N,abbreviate_V
abdicate-01	abdication_N,abdicate_V
abdominal-01	abdominal_A
abduct-01	abduction_N,abduct_V
abduct-02	abduction_N,abduct_V
aberrate-01	aberrate_V,aberration_N
abet-01	abet_V
abhor-01	abhor_V
abide-01	abide_V
ablate-01	ablate_V,ablation_N,coblation_N
ablate-02	ablate_V,ablation_N
able-01	able_A,ability_N
abnegate-01	abnegate_V
abnormal-01	abnormal_A,abn_A
abolish-01	abolish_V,abolition_N
abominable-02	abominable_A
abominate-01	abominate_V,abomination_N
abort-01	abort_V,abortion_N
abound-01	abound_V
about-01	about_A
about-02	about_A
aboutface-03	about_face_V,about_face_N,about-face_N,aboutface_N
abrade-01	abrasion_N,abrade_V
abridge-01	abridge_V
abrogate-01	abrogate_V,abrogation_N
absent-01	absent_V,absence_N,absent_A
absolute-01	absolute_A
absolve-01	absolve_V,absolution_N
absorb-01	absorption_N,absorb_V
abstain-01	abstain_V,abstention_N
abstract-01	abstract_V,abstraction_N
absurd-01	absurd_A
abundant-01	abundant_A
abuse-01	abuse_N,abusive_A,abuse_V
abuse-02	abuse_N,abuse_V,abusive_A
abuse-03	abuse_N,abusive_A,abuse_V
abut-01	abut_V
abysmal-01	abysmal_A
abysmal-02	abysmal_A
accede-01	accede_V
accelerate-01	accelerate_V,acceleration_N
accent-01	accent_V
accentuate-01	accentuate_V
accept-01	accept_V,acceptance_N
acceptable-02	acceptable_A
access-01	access_N,access_V
accessible-02	accessible_A
accession-01	accession_V,accession_N
accessorize-01	accessorize_V
accident-01	accident_N
acclaim-01	acclaim_N,acclaim_V
acclimate-01	acclimate_V
acclimatize-01	acclimatize_V
accommodate-01	accommodation_N,accommodate_V
accompany-01	accompany_V,accompaniment_N
accomplish-01	accomplish_V
accord-01	accord_V,accordance_N
accord-02	accordance_N,accord_V
accord-03	accord_N,accordance_N
account-01	account_N,account_V,accounting_N
accountable-02	accountable_A
accounting-03	accounting_N
accredit-01	accredit_V
accrete-01	accrete_V
accrue-01	accrue_V
accumulate-01	accumulation_N,accumulate_V
accurate-01	accurate_A
accurse-01	accurse_V
accuse-01	accusation_N,accuse_V
accustom-01	accustom_V,accustomed_A
ace-01	ace_V
acetify-01	acetify_V
acetylate-01	acetylate_V,acetylation_N
ache-01	aching_N,ache_V,achy_A
achieve-01	achievement_N,achieve_V
acidify-01	acidify_V
acknowledge-01	acknowledge_V,acknowledgment_N
acquaint-01	acquaint_V
acquiesce-01	acquiesce_V
acquire-01	acquisition_N,acquire_V
acquit-01	acquittal_N,acquit_V
act-01	act_V,acting_N
